Bit;SMILES;Description;Occurrence
699;cF;Fluorinated aromatic (cF);1. Consensus (RF/XGB)
456;cC(=O)O;Carboxylate group;1. Consensus (RF/XGB)
1391;cc(c)C;Methylated aromatic;1. Consensus (RF/XGB)
1563;cc(-c)cc(c)C;Extended aromatic system;1. Consensus (RF/XGB)
352;cc(c)-c;Biphenyl linkage;1. Consensus (RF/XGB)
875;ccc;Benzene ring fragment;1. Consensus (RF/XGB)
1852;cn(-c)n;Nitrogen heterocycle (azole-like);1. Consensus (RF/XGB)
984;cccc(c)C;Methylated aromatic;1. Consensus (RF/XGB)
1224;cc(c)N;Aromatic amine;1. Consensus (RF/XGB)
381;cc(c)N;Aromatic amine;1. Consensus (RF/XGB)
695;;Generic hydrophobic/aromatic;1. Consensus (RF/XGB)
1;;Generic fingerprint bit;1. Consensus (RF/XGB)
1696;cccc(c)N;Aromatic amine;1. Consensus (RF/XGB)
1928;;Generic fragment;2. Random Forest
1747;cc(c)-c;Biphenyl linkage;2. Random Forest
1018;cc(C)c(C)c(-c)n;Substituted heteroaromatic;2. Random Forest
1840;cc(c)F;Fluorinated aromatic (cc(c)F);2. Random Forest
1991;cc(c)C;Methylated aromatic;2. Random Forest
389;CO;Aliphatic ether/alcohol;2. Random Forest
1047;cc(c)C(=O)O;Aromatic carboxylate;2. Random Forest
1866;ccn;Pyridine-like fragment;3. XGBoost
652;CN(C)C;Tertiary amine;3. XGBoost
745;ccc(NC)c(c)C;Substituted aromatic amine;3. XGBoost
728;;Generic fragment;3. XGBoost
809;cC(F)(F)F;Trifluoromethyl group (CF3);3. XGBoost
650;;Generic fragment;3. XGBoost
1447;cccc(c)C;Methylated aromatic;3. XGBoost
