Bit;SMILES;Description;Occurrence
699;cF;Fluorinated aromatic (cF);Consensus (RF/XGB)
1391;cc(c)C;Methylated aromatic;Consensus (RF/XGB)
381;cc(c)N;Aromatic amine;Consensus (RF/XGB)
1563;cc(-c)cc(c)C;Extended aromatic system;Consensus (RF/XGB)
1696;cccc(c)N;Aromatic amine;Consensus (RF/XGB)
875;ccc;Benzene ring fragment;Consensus (RF/XGB)
456;cC(=O)O;Carboxylate group;Consensus (RF/XGB)
984;cccc(c)C;Methylated aromatic;Consensus (RF/XGB)
1852;cn(-c)n;Nitrogen heterocycle (azole-like);Consensus (RF/XGB)
352;cc(c)-c;Biphenyl/Aromatic connection;Consensus (RF/XGB)
1224;cc(c)N;Aromatic amine;Consensus (RF/XGB)
1047;cc(c)C(=O)O;Aromatic carboxylate;Random Forest
1018;cc(C)c(C)c(-c)n;Substituted heteroaromatic;Random Forest
1991;cc(c)C;Methylated aromatic;Random Forest
1747;cc(c)-c;Biphenyl linkage;Random Forest
389;CO;Aliphatic ether/alcohol;Random Forest
1840;cc(c)F;Fluorinated aromatic (cc(c)F);Random Forest
1866;ccn;Pyridine-like fragment;XGBoost
652;CN(C)C;Tertiary amine;XGBoost
745;ccc(NC)c(c)C;Substituted aromatic amine;XGBoost
809;cC(F)(F)F;Trifluoromethyl group (CF3);XGBoost
1447;cccc(c)C;Methylated aromatic;XGBoost
