Rank,ID,SMILES,proba_consensus,pred_consensus,AD_Tanimoto_Dist,Index_Original,AD_Inside,proba_RF,pred_RF,proba_XGB,pred_XGB
1,H3D-008521,Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-c3ccccc3F)c2c(C)c1-c1ccncc1,0.88,1,0.66,7,True,0.77,1,0.99,1
2,H3D-008418,Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-c3ccccc3F)c2c(C)c1-c1ccc(CN2CCOCC2)cc1,0.88,1,0.65,9,True,0.77,1,0.99,1
3,H3D-007277,Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOCC2)cc1,0.81,1,0.67,8,True,0.62,1,0.99,1
4,H3D-008198,Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-n3nccc3C)c2c(C)c1-c1ccncc1,0.77,1,0.74,6,False,0.54,1,0.99,1
5,H3D-005516,Cc1cc2nc(C(=O)NCCO)cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOC2=O)cc1,0.75,1,0.75,4,False,0.55,1,0.94,1
6,H3D-000374,CC(C)(C)NC(=O)c1ccc(F)c(-c2ccc3ncc(-c4ccc(S(C)(=O)=O)cc4)n3n2)c1,0.7,1,0.72,2,False,0.57,1,0.83,1
7,H3D-006902,Cc1cc2nc(CO)cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOCC2)cc1,0.69,1,0.69,5,True,0.51,1,0.88,1
8,H3D-002856,O=C(CNc1c(F)cccc1F)Nc1ccccc1C(=O)[O-],0.57,1,0.7,0,False,0.51,1,0.64,1
9,H3D-003308,O=C([O-])c1ccccc1NC(=O)N1CCN(c2ccc(F)cc2)CC1,0.57,1,0.7,1,False,0.36,0,0.79,1
10,H3D-003130,O=C(CN1CCN(c2ccc(F)cc2)CC1)Nc1ccccc1C(=O)O,0.54,1,0.65,3,True,0.43,0,0.65,1
